time,novel_id,novel_name,allpopu_wan,read_total
2025-12-20 19:30:34,1758077,谋杀安徒生,12.19,0
2025-12-20 19:42:20,1952181,望川十年,3863.12,62543
2025-12-20 19:42:21,1758077,谋杀安徒生,12.19,0
2025-12-20 19:53:15,1952181,望川十年,3863.88,62543
2025-12-20 19:53:16,1758077,谋杀安徒生,12.19,0
2025-12-20 20:37:54,1952181,望川十年,3868.06,62543
2025-12-20 20:37:55,1758077,谋杀安徒生,12.19,0
2025-12-20 21:17:14,1952181,望川十年,3879.0,62543
2025-12-20 21:17:15,1758077,谋杀安徒生,12.19,0
2025-12-20 21:40:57,1952181,望川十年,3882.15,62543
2025-12-20 21:40:58,1758077,谋杀安徒生,12.19,0
2025-12-20 21:53:57,1952181,望川十年,3883.87,62543
2025-12-20 21:53:58,1758077,谋杀安徒生,12.19,0
2025-12-20 22:18:11,1952181,望川十年,3888.28,62543
2025-12-20 22:18:12,1758077,谋杀安徒生,12.19,0
2025-12-20 22:37:48,1952181,望川十年,3891.57,62543
2025-12-20 22:37:49,1758077,谋杀安徒生,12.19,0
2025-12-20 22:53:29,1952181,望川十年,3894.48,62543
2025-12-20 22:53:30,1758077,谋杀安徒生,12.19,0
2025-12-20 23:18:39,1952181,望川十年,3899.43,62543
2025-12-20 23:18:39,1758077,谋杀安徒生,12.19,0
2025-12-20 23:35:57,1952181,望川十年,3904.22,62543
2025-12-20 23:35:58,1758077,谋杀安徒生,12.21,0
2025-12-20 23:46:27,1952181,望川十年,3907.34,62543
2025-12-20 23:46:28,1758077,谋杀安徒生,12.21,0
2025-12-20 23:56:32,1952181,望川十年,3909.44,62543
2025-12-20 23:56:33,1758077,谋杀安徒生,12.21,0
2025-12-21 00:28:03,1952181,望川十年,3917.57,62543
2025-12-21 00:28:04,1758077,谋杀安徒生,12.21,0
2025-12-21 00:48:28,1952181,望川十年,3922.18,62543
2025-12-21 00:48:29,1758077,谋杀安徒生,12.21,0
2025-12-21 01:16:39,1952181,望川十年,3927.53,64300
2025-12-21 01:16:40,1758077,谋杀安徒生,12.21,0
2025-12-21 01:35:10,1952181,望川十年,3931.0,64300
2025-12-21 01:35:11,1758077,谋杀安徒生,12.21,0
2025-12-21 01:45:46,1952181,望川十年,3932.54,64300
2025-12-21 01:45:47,1758077,谋杀安徒生,12.24,0
2025-12-21 01:55:58,1952181,望川十年,3934.41,64300
2025-12-21 01:55:59,1758077,谋杀安徒生,12.24,0
2025-12-21 02:28:49,1952181,望川十年,3953.98,64300
2025-12-21 02:28:50,1758077,谋杀安徒生,12.24,0
2025-12-21 02:49:45,1952181,望川十年,3956.2,64300
2025-12-21 02:49:46,1758077,谋杀安徒生,12.24,0
2025-12-21 03:15:12,1952181,望川十年,3958.77,64300
2025-12-21 03:15:13,1758077,谋杀安徒生,12.24,0
2025-12-21 03:30:11,1952181,望川十年,3959.94,64300
2025-12-21 03:30:12,1758077,谋杀安徒生,12.24,0
2025-12-21 03:41:42,1952181,望川十年,3961.26,64300
2025-12-21 03:41:43,1758077,谋杀安徒生,12.24,0
2025-12-21 03:53:55,1952181,望川十年,3962.08,64300
2025-12-21 03:53:56,1758077,谋杀安徒生,12.24,0
2025-12-21 04:20:37,1952181,望川十年,3963.28,64300
2025-12-21 04:20:37,1758077,谋杀安徒生,12.24,0
2025-12-21 04:37:54,1952181,望川十年,3963.98,64300
2025-12-21 04:37:55,1758077,谋杀安徒生,12.24,0
2025-12-21 04:53:49,1952181,望川十年,3964.63,64300
2025-12-21 04:53:50,1758077,谋杀安徒生,12.24,0
2025-12-21 05:16:44,1952181,望川十年,3965.75,64300
2025-12-21 05:16:45,1758077,谋杀安徒生,12.24,0
2025-12-21 05:32:32,1952181,望川十年,3966.27,64300
2025-12-21 05:32:33,1758077,谋杀安徒生,12.24,0
